epochhours,last_price,firm_executable_bid,firm_executable_ask,market_estimate_bid,market_estimate_ask,FlowTradersMidpoint ,FlowTradesBid ,FlowTradesAsk 
1615014000,,124.0177791,124.3291977,,,,,
1615017600,,,,123.9042047,124.5038305,,,
1615021200,,124.0551951,124.3763659,,,,,
1615024800,,124.07,124.392,,,,,
1615028400,,,,123.901,124.52,,,
1615032000,,124.158,124.508,,,,,
1615035600,,,,123.8683202,124.4364362,,,
1615039200,,123.9524545,124.302,,,,,
1615042800,,,,123.8106426,124.4124404,,,
1615046400,,123.8834731,124.2344194,,,,,
1615050000,,,,123.8314871,124.4312122,,,
1615053600,,123.9056875,124.260675,,,,,
1615057200,,,,123.75731,124.3584225,,,
1615060800,,123.8495065,124.2051688,,,,,
1615064400,,123.8639718,124.2189577,,,,,
1615068000,,,,123.7796852,124.3805976,,,
1615071600,,123.7668462,124.1208077,,,,,
1615075200,,,,123.6994189,124.2951824,,,
1615078800,,123.7474891,124.1009239,,,,,
1615082400,,,,123.6927055,124.2905785,,,
1615086000,,,,123.5307349,124.128891,,,
1615089600,,123.6315294,123.9847899,,,,,
1615093200,,123.5793738,123.9324112,,,,,
1615096800,,,,123.5013994,124.0989399,,,
1615100400,,123.6976234,124.0512727,,,,,
1615104000,,,,123.6248228,124.2215935,,,
1615107600,,,,123.674,124.277,,,
1615111200,,123.708,124.062,,,,,
1615114800,,,,123.674,124.277,,,
1615118400,,123.681,124.03,,,,,
1615122000,,123.5090595,123.8629048,,,,,
1615125600,,,,123.4245637,123.9674183,,,
1615129200,,,,123.4825296,124.0824517,,,
1615132800,,123.5436055,123.898211,,,,,
1615136400,,123.5565976,123.9124268,,,,,
1615140000,,,,123.4725607,124.0671281,,,
1615143600,,123.5881282,123.9363462,,,,,
1615147200,123.8623333,,,,,,,
1615150800,,,,123.4684296,124.060799,,,
1615154400,,123.6193288,123.9581918,,,,,
1615158000,,,,123.4665291,124.0580719,,,
1615161600,,123.5936418,123.9309104,,,,,
1615165200,,,,123.4550285,124.0417705,,,
1615168800,,123.5103023,123.8550233,,,,,
1615172400,,,,123.3671614,123.9591203,,,
1615176000,,123.4634526,123.8121053,,,,,
1615179600,,,,123.3247068,123.9178025,,,
1615183200,,123.426617,123.7719574,,,,,
1615186800,,,,123.2721459,123.865043,,,
1615190400,,123.4221831,123.7676479,,,,,
1615194000,,,,123.2724259,123.8752054,,,
1615197600,,123.37,123.715,,,,,
1615201200,,,,123.19,123.821,,,
1615204800,,,,123.19,123.821,,,
1615208400,,,,123.19,123.821,,,
1615212000,,,,123.19,123.821,,,
1615215600,,,,123.19,123.821,,,
1615219200,,,,123.19,123.821,,,
1615222800,,,,123.19,123.821,,,
1615226400,,122.819,123.176,,,,,
1615230000,,,,123.099345,123.6421853,,,
1615233600,,123.24748,123.60238,,,,,
1615237200,,,,122.9632023,123.5520694,,,
