epochhours,last_price,firm_executable_bid,firm_executable_ask,market_estimate_bid,market_estimate_ask
1603713600,,,,122.3558378,122.9571957
1603713600,,122.3629286,122.9608571,,
1603717200,,,,122.2717215,122.8764019
1603717200,,122.2962308,122.8936154,,
1603720800,,,,122.2589762,122.8648111
1603720800,,122.2475714,122.8619286,,
1603724400,,122.3616,122.9716,,
1603724400,,,,122.3758576,122.9862588
1603728000,,122.3835333,122.9893333,,
1603728000,,,,122.3836628,122.9948221
1603756800,,,,122.453,123.079
1603782000,,122.5254848,123.1293939,,
1603782000,,,,122.4681144,123.0820796
1603785600,,122.5594286,123.169,,
1603785600,,,,122.4468583,123.0665765
1603789200,,122.5935,123.2068333,,
1603789200,,,,122.4977284,123.1054447
1603789200,122.986,,,,
1603792800,,122.6338667,123.257,,
1603792800,,,,122.5405506,123.1485549
1603796400,,122.6416667,123.2643333,,
1603796400,,,,122.5431622,123.1494456
1603800000,,122.6605833,123.2836667,,
1603800000,,,,122.556002,123.1649592
1603803600,,,,122.6141252,123.2336173
1603803600,,122.7116,123.3373,,
1603807200,,122.8021667,123.4285556,,
1603807200,,,,122.7233351,123.3427368
1603810800,,,,122.7939779,123.4157666
1603810800,,122.87175,123.5006875,,
1603814400,,,,122.8608351,123.482241
1603814400,,122.9125455,123.5445455,,
1603843200,,,,122.869,123.515
1603868400,,,,123.0871711,123.6225285
1603868400,,122.8970556,123.9280185,,
1603872000,,122.91,123.9124667,,
1603872000,,,,123.0438855,123.6679603
1603875600,,122.9270556,123.8376667,,
1603875600,,,,123.007011,123.6241193
1603879200,,122.90125,123.90025,,
1603879200,,,,123.0418112,123.6631264
1603882800,,,,122.991524,123.6187521
1603882800,,122.9157692,123.8037692,,
1603886400,,122.9160714,123.7916429,,
1603886400,,,,123.0133936,123.6411959
1603890000,,122.9299286,123.6995714,,
1603890000,,,,122.948006,123.5742808
1603893600,,122.9160714,123.5694286,,
1603893600,,,,122.8748442,123.5051825
1603897200,,122.8258,123.45355,,
1603897200,,,,122.7737147,123.4115951
1603900800,,,,122.7853875,123.4168834
1603900800,,122.8444667,123.4670667,,
1603904400,,,,122.79,123.427
1603929600,,,,122.79,123.427
1603954800,,,,122.8009895,123.370692
1603954800,,122.8303315,123.4552609,,
1603958400,,,,122.7212359,123.3624292
1603958400,,122.8187778,123.4167778,,
1603962000,,,,122.7471954,123.393046
1603962000,,122.8403333,123.4384444,,
1603962000,123.067,,,,
1603965600,,122.8686364,123.4667273,,
1603965600,123.146,,,,
1603965600,,,,122.8224057,123.4604976
1603969200,,122.8692,123.4673,,
1603969200,123.126,,,,
1603969200,,,,122.8398657,123.4805388
1603972800,123.035,,,,
1603972800,,122.8332727,123.4312727,,
1603972800,,,,122.8114985,123.4697036
1603976400,123.154,,,,
1603976400,,,,122.8285299,123.4854416
1603976400,,122.8117368,123.423,,
1603980000,,,,122.8264676,123.4877109
1603980000,,122.7882222,123.3945556,,
1603983600,,122.7712222,123.3798889,,
1603983600,,,,122.8072526,123.4683393
1603983600,123.04,,,,
1603987200,,122.7697778,123.3788889,,
1603987200,,,,122.8584772,123.5085483
1603990800,,122.767,123.377,,
1603998000,,122.767,123.377,,
1604016000,,,,122.864,123.518
1604041200,,,,122.726479,123.3266148
1604041200,,122.7147273,123.4065455,,
1604044800,,122.4629286,123.2949286,,
1604044800,,,,122.5260449,123.1943269
1604044800,122.557,,,,
1604048400,,122.4924615,123.2821538,,
1604048400,,,,122.5272113,123.2109562
1604052000,,122.5035,123.4245,,
1604052000,123.052,,,,
1604052000,,,,122.6346248,123.3124372
1604055600,,122.6365455,123.245,,
1604055600,,,,122.61061,123.2814671
1604059200,,,,122.6067216,123.277232
1604059200,,122.6502,123.2589,,
1604062800,,,,122.5386,123.2047571
1604062800,,122.5807273,123.1884545,,
1604066400,,,,122.5612196,123.2180849
1604066400,,122.603,123.211,,
1604070000,,122.5123571,123.1209286,,
1604070000,,,,122.4601679,123.118855
1604073600,,122.5227143,123.1291429,,
1604073600,,,,122.5049239,123.1645453
1604102400,,,,122.514,123.177
1604142000,,,,122.514,123.177
1604167200,,,,122.514,123.177
1604275200,,,,122.514,123.177
1604300400,,122.6782,123.2871,,
1604300400,,,,122.6269812,123.246968
1604304000,,122.6007778,123.2085556,,
1604304000,,,,122.5357271,123.1828066
1604307600,,,,122.4397134,123.0837662
1604307600,,122.5052222,123.1125556,,
1604311200,,,,122.4406307,123.0496513
1604311200,,122.4988571,123.1058571,,
1604314800,,122.5566,123.1643,,
1604314800,,,,122.5192736,123.1282016
1604318400,,122.545,123.1527778,,
1604318400,,,,122.5139817,123.1188569
1604322000,,,,122.4847036,123.1345831
1604322000,,122.5565556,123.1652222,,
